"Params (C, Ïµ, tol)",Mean Squared Error,Standard Deviation
[0.1  0.01 0.01],0.005917022190988063,0.0003027642464516401
[0.1   0.01  0.001],0.005910317708427708,0.00030239037081606507
[0.1    0.01   0.0001],0.005909809190779923,0.0003017848763798262
[0.1   0.001 0.01 ],0.0058824709306160615,0.0002947951097610948
[0.1   0.001 0.001],0.005885252434139451,0.00029495372750999087
[0.1    0.001  0.0001],0.005885672320922216,0.0002949368489638733
[0.1    0.0001 0.01  ],0.005890995621060331,0.0002927392365305566
[0.1    0.0001 0.001 ],0.005887128645554184,0.00029737100870451557
[0.1    0.0001 0.0001],0.005886881317322452,0.00029732653325403044
[0.25 0.01 0.01],0.005024381261318922,0.00023891632768379466
[0.25  0.01  0.001],0.005018771812319756,0.0002407777888590525
[2.5e-01 1.0e-02 1.0e-04],0.0050182984676212065,0.0002407428357053101
[0.25  0.001 0.01 ],0.005019229790195823,0.00023600758211813388
[0.25  0.001 0.001],0.005020097720747193,0.00023777424992416064
[2.5e-01 1.0e-03 1.0e-04],0.005020014010369778,0.00023780653053422188
[2.5e-01 1.0e-04 1.0e-02],0.005026701278984547,0.00023874964492482143
[2.5e-01 1.0e-04 1.0e-03],0.005021797074005008,0.00023895231481129852
[2.5e-01 1.0e-04 1.0e-04],0.005021537700667978,0.00023884666581188075
[1.   0.01 0.01],0.004637991590425372,0.0002347077372197221
[1.    0.01  0.001],0.004637337235423426,0.00023615899052315795
[1.e+00 1.e-02 1.e-04],0.004637277902414401,0.000235277975413659
[1.    0.001 0.01 ],0.004653740340533357,0.00024030894834382247
[1.    0.001 0.001],0.004649684329827626,0.00023734010944894725
[1.e+00 1.e-03 1.e-04],0.004649466066621244,0.00023694444422129741
[1.e+00 1.e-04 1.e-02],0.004653434657181303,0.00023635583460689512
[1.e+00 1.e-04 1.e-03],0.004645844867142538,0.0002347141957460777
[1.e+00 1.e-04 1.e-04],0.004647424576493601,0.00023487405201570952
[2.5  0.01 0.01],0.004577797783228258,0.0002377477741772391
[2.5e+00 1.0e-02 1.0e-03],0.004577325331047178,0.00023696231581165792
[2.5e+00 1.0e-02 1.0e-04],0.00457738544791937,0.00023732064137961368
[2.5e+00 1.0e-03 1.0e-02],0.004594330249043803,0.00023293187761558724
[2.5e+00 1.0e-03 1.0e-03],0.0045940591565643745,0.00023214773296136723
[2.5e+00 1.0e-03 1.0e-04],0.00459343190304935,0.00023203219731321646
[2.5e+00 1.0e-04 1.0e-02],0.004596416861750186,0.00023105550519645555
[2.5e+00 1.0e-04 1.0e-03],0.0045958271250128736,0.00023294291925548226
[2.5e+00 1.0e-04 1.0e-04],0.004595556606849035,0.0002335331371744106
[10.    0.01  0.01],0.0045917681884020565,0.0002355465450125591
[1.e+01 1.e-02 1.e-03],0.004592126305215061,0.00023807382388647662
[1.e+01 1.e-02 1.e-04],0.004591976478695869,0.00023872965308606076
[1.e+01 1.e-03 1.e-02],0.004613641494264206,0.0002378140463209315
[1.e+01 1.e-03 1.e-03],0.004610269912518562,0.0002398970939668907
[1.e+01 1.e-03 1.e-04],0.004610208398662508,0.0002406544382156839
[1.e+01 1.e-04 1.e-02],0.004617290206563969,0.00023890836093990158
[1.e+01 1.e-04 1.e-03],0.004614540127416452,0.00024179053316025556
[1.e+01 1.e-04 1.e-04],0.00461443450767547,0.00024214041527162238
[2.5e+01 1.0e-02 1.0e-02],0.00464527119571964,0.00023617070928567111
[2.5e+01 1.0e-02 1.0e-03],0.0046446776560818154,0.00023983240371762575
[2.5e+01 1.0e-02 1.0e-04],0.004644136169614892,0.0002406409595119655
[2.5e+01 1.0e-03 1.0e-02],0.0046630303608253595,0.00023783940787288737
[2.5e+01 1.0e-03 1.0e-03],0.004658273817040026,0.00023188164984647128
[2.5e+01 1.0e-03 1.0e-04],0.004657936243650814,0.0002331752730170059
[2.5e+01 1.0e-04 1.0e-02],0.004663902924706539,0.00023313185165482674
[2.5e+01 1.0e-04 1.0e-03],0.004659010469913483,0.00023269269906752048
[2.5e+01 1.0e-04 1.0e-04],0.004659119558831056,0.00023194170489303836
